No,Judul,Deskripsi,Instruktur,Peringkat,Total Jam,Harga
1,R Level 1 - Data Analytics with R,Use R for Data Analytics and Data Mining,R-Tutorials Training,4.4,87,2380000
2,Careers in Data Science A-Z™,"How to Become a Top Level Data Scientist - Learn What to Expect, How to be Prepared, How to Stand Out and More...","Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team",4.5,52,2800000
3,Intro to Data Science: Your Step-by-Step Guide To Starting,"Learn the critical elements of Data Science, from visualization to databases to Python and more, in just 6 weeks!","Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team",4.3,42,2800000
4,R Programming For Absolute Beginners,Learn the basics of writing code in R - your first step to become a data scientist,Bogdan Anastasiei,4.3,119,560000
5,Python & Introduction to Data Science,Learn the basics of Python and the most important Data Science libraries with this step by step guide!,AI 4 MY,4.1,68,1330000
6,"Introduction to AI, Machine Learning and Data Science 2020","Introductory Course for Beginners to AI, Machine Learning, Data Science, Deep Learning, Supervised and Unsupervised ML",Pradeep D,3.8,15,2800000
7,"3 in 1! Cisco CCNA, Python Programming, & Network Automation","Kursus Python for Network Engineers. Belajar 3 materi dalam satu kursus, Networking, Python, dan Network Programming","Ahmad Rosid Komarudin, Aguna Course",4.5,76,1120000
8,Kursus Android Dasar Dari Nol Sampai Expert,Kursus Android Online Khusus untuk Pemula yang ingin belajar dasar-dasar Android,Santren Koding,4.6,78,350000
9,Kotlin from Zero to Hero - Bahasa Indonesia,Belajar Pemrograman Kotlin dari Dasar hingga mahir,Udacoding Official,4,22,280000
10,R Programming A-Z™: R For Data Science With Real Exercises!,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2","Kirill Eremenko, SuperDataScience Team",4.6,81,2800000
11,Data Science and Machine Learning Bootcamp with R,Learn how to use the R programming language for data science and machine learning and data visualization!,Jose Portilla,4.6,127,2730000
12,R: Data Analysis with R - Step-by-Step Tutorial!: 3-in-1,An all inclusive guide to get well versed with classifying and clustering data with R!,Packt Publishing,4.5,44,2800000
13,Learning Path: R: Powerful Data Analysis with R,Learn advanced techniques of R to solve real-world problems in data analysis,Packt Publishing,3.9,98,2800000
14,Learning Path: R: Real-World Data Mining With R,Learn data mining with R using real-world dataset analysis techniques and discover the versatility of R,Packt Publishing,2.9,78,2800000
15,Data Science with Python - Beginners,Learn how to use Python to create fascinating data visualizations.,EDU CBA,3.9,36,1400000
16,The Absolute Beginners Guide to Data Science,Build your mathematics and statistics foundations strongly and ensure your Data science fundamentals are in place!,Sai Acuity Institute of Learning Pvt Ltd Enabling Learning Through Insight!,4.2,50,2800000
17,Data Analysis with R,Learn data analytics in easy to follow stages for beginners,Mangirdas Adomaitis,3.7,44,1050000
18,Statistics with R - Beginner Level,Basic statistical analyses using the R program,Bogdan Anastasiei,4.3,46,420000
19,Learn Python Basics for Data Science,Learn the fundamentals of the python programming language for Data Science. Practice and Solution Notebooks included.,Valentine Mwangi,4,10,280000
20,Data Science : Master Machine Learning Without Coding,Learn Fundamentals Of Data Science & Machine Learning With Rapidminer (No Coding). Dataset & Solutions Included.,Ram Prasad,4.3,63,1750000
21,R Data Analysis with Projects – Hands On: 3-in-1,Master R's basic and advanced techniques to solve real-world problems in data analysis and gain valuable insights from y,Packt Publishing,4,134,2800000
22,Data Visualizations using R with Data Processing,Data Visualizations with R,SVBook Pte. Ltd.,0,35,2800000
23,R: Data Visualization with R - A Complete Guide!: 3-in-1,Advanced visualization techniques in R to visualize 2D and 3D interactive plots!,Packt Publishing,4.3,104,2800000
24,Data Science for Professionals,It's time to leave spreadsheets behind...,Gregory Sward,4.2,33,2800000
25,Learn Data Wrangling With R,Best practice data wrangling with a nice intermediate example,Julian Tagell,0,13,280000
26,R Programming Hands-on Specialization for Data Science (Lv1),An in-depth course on R language with real-world Data Science examples to supercharge your R data analysis skills,Irfan Elahi,4.1,87,1960000
27,Learn By Example: Statistics and Data Science in R,"A gentle yet thorough introduction to Data Science, Statistics and R using real life examples",Loony Corn,3.7,82,1400000
28,R: Programming and Data Science,Become proficient in statistical and data analysis with R programming concepts,Packt Publishing,4.7,85,2800000
29,Introduction to R Programming - Must See Introduction to R,Get Your Feet Wet in R Programming: What can you do with R and Data Science,Dhruv Bais,3.6,7,280000
30,R Programming For Data Science - Easy as ABC,"Data Science, R, Data Mining, Data Transformation, Data Visualization, Data Analysis, Exploratory Data Analysis",Lugisani Mukovhe,3.3,37,350000
31,R for Data Science: Learn R Programming in 2 Hours,Enter the world of R Programming: Everything you need to get started with R and Data Science in just 2 HOURS!,Ajay R Warrier,4.4,33,1400000
32,"3 in 1! Cisco CCNA, Python Programming, & Network Automation","Kursus Python for Network Engineers. Belajar 3 materi dalam satu kursus, Networking, Python, dan Network Programming","Ahmad Rosid Komarudin, Aguna Course",4.5,76,1120000
33,Kursus Android Dasar Dari Nol Sampai Expert,Kursus Android Online Khusus untuk Pemula yang ingin belajar dasar-dasar Android,Santren Koding,4.6,78,350000
34,Kotlin from Zero to Hero - Bahasa Indonesia,Belajar Pemrograman Kotlin dari Dasar hingga mahir,Udacoding Official,4,22,280000
35,R Programming A-Z™: R For Data Science With Real Exercises!,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2","Kirill Eremenko, SuperDataScience Team",4.6,81,2800000
36,Data Science and Machine Learning Bootcamp with R,Learn how to use the R programming language for data science and machine learning and data visualization!,Jose Portilla,4.6,127,2730000
