No,Days,Package,Destination,Price
1,4D/3N,Experience All Inclusive Package,Club Med Kani Maldives," 9,717,000.00 "
2,4D/3N,Experience All Inclusive Packages ,Centara Ras Fushi Resort & Spa Maldives Early Bird Offer-60 Days," 12,641,812.00 "
3,5D/4N,Experience All Inclusive Packages ,Centara Ras Fushi Resort & Spa Maldives," 17,544,544.00 "
4,5D/4N,Experience Combination All Inclusive Packages ,Centara Ras Fushi Resort & Spa Maldives," 19,801,448.00 "
5,4D/3N,Experience All Inclusive Package,Club Med Manta Maldives," 15,834,000.00 "
6,4D/3N,Experience Combination All Inclusive Package,Club Med Manta & Finolhu Maldives," 17,626,000.00 "
7,5D/4N,Experience Combination All Inclusive Package,Club Med Manta & Finolhu Maldives," 26,194,000.00 "
8,4D/3N,Experience Luxury All Inclusive Package,Club Med Finolhu Maldives," 17,034,000.00 "
9,5D/4N,Experience Luxury All Inclusive Package,Club Med Finolhu Maldives," 22,340,000.00 "
10,4D/3N,Experience Luxury Resort Crystal All Inclusive Package,Ayada Maldives," 30,221,094.00 "
11,5D/4N,Experience Platinum All Inclusive Package ,Emerald Maldives Resort & Spa Early Bird Offer-60 Days," 26,717,128.00 "
12,5D/4N,Experience Luxury Crystal All Inclusive Package ,Ayada Maldives," 43,144,751.00 "
13,4D/3N,Experience All Inclusive Package ,Lily Beach Resort & Spa Early Bird Offer-60 Days," 20,473,577.00 "
14,5D/4N,Experience All Inclusive Package ,Lily Beach Resort & Spa Early Bird Offer-60 Days," 26,199,852.00 "
15,5D/4N,Experience Best Combination All Inclusive Package,Lily Beach Resort & Spa Early Bird Offer-60 Days," 32,657,562.00 "
16,4D/3N,Experience Luxury Boutique Half Board Package,Boutique Gili Lankanfushi Maldives Early Bird Offer," 22,424,892.00 "
17,4D/3N,Experience Luxury Boutique Full Board Package,Boutique Gili Lankanfushi Maldives Early Bird Offer," 28,726,102.00 "
18,5D/4N,Experience Luxury Boutique Half Board Package,Boutique Gili Lankanfushi Maldives Early Bird Offer," 29,899,856.00 "
19,5D/4N,Experience Luxury Boutique Full Board Package,Boutique Gili Lankanfushi Maldives Early Bird Offer," 38,301,469.00 "
20,4D/3N,Experience Full Board Package,Fun Island Resort Maldives," 7,100,186.00 "
21,5D/4N,Experience Full Board Package ,Fun Island Resort Maldives," 8,731,088.00 "
22,4D/3N,Experience All Inclusive Package Oblu by Atmosphere,Helengeli Maldives," 15,707,721.00 "
23,5D/4N,Experience All Inclusive Package Oblu by Atmosphere,Helengeli Maldives," 19,570,815.00 "
24,4D/3N,Experience All Inclusive Serenity Plan Oblu Select,Sangeli Maldives," 19,900,290.00 "
25,5D/4N,Experience All Inclusive Serenity Plan Oblu Select,Sangeli Maldives," 25,105,995.00 "
26,5D/4N,Experience Combination All Inclusive Serenity Plan Oblu Select, Sangeli Maldives," 25,929,682.00 "
27,4D/3N,Experience Luxury Four Seasons Resort Maldives,Kuda Huraa," 29,133,827.00 "
28,5D/4N,Experience Luxury Four Seasons Resort Maldives,Kuda Huraa," 37,115,359.00 "
29,4D/3N,Experience All Inclusive Package ,Adaaran Club Rannalhi Maldives," 11,383,361.00 "
30,5D/4N,Experience All Inclusive Package,Adaaran Club Rannalhi Maldives," 14,455,716.00 "
31,5D/4N,Experience Combination All Inclusive Package ,Adaaran Club Rannalhi Maldives," 17,626,912.00 "
32,5D/4N,Experience Combination Luxury Four Seasons Resort Maldives,Kuda Huraa," 57,938,179.00 "
33,4D/3N,Experience Diamond All Inclusive Package ,Olhuveli Beach and Spa Maldives," 12,363,549.00 "
34,4D/3N,Experience All Inclusive Package Ellaidhoo Maldives by Cinnamon,Ellaidhoo Maldives," 11,136,255.00 "
35,5D/4N,Experience All Inclusive Package Ellaidhoo Maldives by Cinnamon,Ellaidhoo Maldives," 13,805,002.00 "
36,5D/4N,Experience Combination All Inclusive Package Ellaidhoo Maldives by Cinnamon,Ellaidhoo Maldives," 16,770,278.00 "
37,4D/3N,Experience All Inclusive Package ,Adaaran Select Hudhuranfushi Maldives," 12,075,259.00 "
38,5D/4N,Experience All Inclusive Package ,Adaaran Select Hudhuranfushi Maldives," 15,304,114.00 "
39,4D/3N,Experience Packages,Holiday Inn Resort Kandooma Malidives," 14,711,059.00 "
